id,time,event,option1
42,35.8411,LinkedIn,Product Manage Platform API
43,31.0000,Microsoft,Software Dev Engn Test
43,38.0055,Microsoft,Software Dev Engn Test 
43,44.3425,Amazon,Quality Assurance Eng
45,26.0000,salesforcecom,Software Dev Intern
45,26.8329,salesforcecom,Associate Member Tech Staff
45,28.0877,salesforcecom,Member Tech Staff
45,29.0877,salesforcecom,Sr Member Tech Staff
45,30.5890,Salesforce,Lead Member Tech Staff
47,30.0000,Google,Sr Eng Manage
47,34.0027,EMC,Sr Eng Director CTO China Research Dev Center
48,29.0000,Sun MicroSystem,Sr Software Eng
48,33.0027,IBM,Architect Eng Manage Performance Big Data
48,39.5890,Amazon,Software Dev Manage
52,31.0000,Amazon,Software Eng Intern
52,32.0000,Amazon,Software Eng Intern
52,33.0000,Google,Software Eng Intern
52,33.2521,University Illinois UrbanaChampaign,Teaching Assistant
54,30.0000,Yahoo,Sr Director Sponsored Search Science Yahoo Lab
54,34.7507,Yahoo,VP Search Media Science Yahoo Lab
54,37.3342,Google,Eng Director
54,39.7534,Yahoo,VP Ad Science
60,26.0000,eBay,Software Eng
60,29.0000,salesforcecom,Member Tech Staff
60,30.9205,salesforcecom,Sr Member Tech Staff
60,32.1726,salesforcecom,Lead Member Tech Staff
63,28.0000,Alibaba,Software Eng Intern
63,32.3397,Google,Software Eng
65,29.0000,VMware,Sr Market Analyst Manage
65,32.8356,Apple,Sr Analyst Advanced Analyst
69,30.0000,San Jose State University,Web Dev Graduate School Business
69,31.2548,Sun MicroSystem,Software Eng
69,32.9260,Oracle,Software Eng
69,33.5068,Cisco,Software Eng
69,36.1726,Cisco,Tech Market Eng
69,36.8438,VMware,Sr Member Tech Staff
70,31.0000,Yahoo,Sr Software Eng Data Science
70,39.5863,eBay,Sr Data Science
73,29.0000,Yahoo,Tech Intern Group
73,29.5014,Yahoo,Software Eng group
73,31.5890,Yahoo,Software Eng Group
73,33.1699,eBay,Sr Software Eng team Dev group
74,28.0000,Arizona State University,Student
74,29.8329,Yahoo,Software Eng
75,31.0000,Qualcomm,Intern Architect Group
75,32.0849,Qualcomm,Intern Architect Group
75,32.6712,Microsoft,Research Intern compute group
76,22.0000,IBM,Software Eng
76,23.7507,Microsoft,Software Dev Test Intern
77,24.0000,PayPal,Sr Software Mobile Eng
77,27.1644,Netflix,Sr Software Eng
79,30.0000,Microsoft,Software Dev Intern
79,31.0000,Google,Software Eng Intern
80,28.0000,Northeastern University,Teaching Assistant
80,28.3342,Northeastern University,Research Assistant
80,29.3370,Amazon,Software Dev Eng
80,31.5836,Amazon,Software Dev Eng
83,31.0000,Yahoo,Sr Software Eng
83,32.7507,Microsoft,Sr Software Dev Eng Manage
83,35.4164,Zynga,Principal Architect General Manage
83,36.5014,Microsoft,Principal Dev Manage
83,38.0055,Amazon,General Manage Business Initiative
87,26.0000,Qualcomm, Software Eng Intern
87,26.6685,Facebook,Software Eng Intern
88,31.0000,Facebook,Software Eng Intern
88,31.3370,Twitter,Software Eng Intern
88,32.1671,Facebook,Software Eng
89,24.0000,PuResearch Devue University,Research Assistant
89,28.3370,Facebook,Sr Research Science
92,29.0000,Cisco,Software Dev Eng
92,30.2548,Amazon,Software Dev Eng Amazon
92,32.0877,Amazon,Software Eng Tech Lead Amazon
93,28.0000,UCLA,Teaching Assistant
93,29.7479,Amazon,Software Dev Eng
93,32.0849,Amazon,Software Dev Eng
94,28.0000,Twitter,Sr Software Eng
94,30.2521,Facebook,Eng
100,29.0000,Microsoft,Software Eng Intern
100,29.2521,University Illinois UrbanaChampaign,Research Assistant
100,30.0027,Microsoft,Software Eng Intern
100,30.2548,University Illinois UrbanaChampaign,Teaching Assistant
100,31.0027,University Illinois UrbanaChampaign,Research Assistant
100,31.6740,Microsoft,Software Eng
100,32.2548,LinkedIn,Software Eng
101,31.0000,Yahoo,Sr Software Eng
101,32.5041,Facebook,Software Eng
104,24.0000,Google,Software Eng Intern
104,25.1726,Microsoft Research Asia,Visiting Student
104,27.9205,Facebook,Software Eng Intern
104,28.9233,Facebook,Research Science
105,24.0000,Microsoft,Research Intern
105,24.4959,Cornell University,Visiting Student
105,25.3342,Google,Research Intern
105,26.0000,Cornell University,Reseach Intern
106,30.0000,Microsoft,Software Dev Eng
106,33.2521,Facebook,Software Eng
110,25.0000,PayPal,Staff Science
110,26.8356,PayPal,Principal Science
110,28.9205,Google,Data Science
111,29.0000,Yahoo,Software Dev Eng
111,30.0849,Yahoo,Software Dev Eng
111,30.2521,Uber,Software Eng
112,28.0000,HewlettP,Sr Software Eng
112,31.0027,Georgia Institute Tech,Research Assistant
113,31.0000,IBM,Software Dev Intern
113,34.0849,Google,Software Eng Intern
113,35.0877,Google,Software Eng Intern
113,35.8356,Google,Software Eng
114,28.0000,Carnegie Mellon University,Graduate Student
114,34.9205,IBM,Research Staff Member
114,42.5918,Google,Research Science
116,30.0000,Motorola,Eng
116,33.9178,Qualcomm,Sr Software Eng
120,30.0000,Microsoft,Research Intern
120,31.0000,Google,Software Eng Intern
120,32.2521,Amazon,Research Science
123,25.0000,Microsoft Research Asia,Research Intern
123,28.2493,Microsoft Research Asia,Visiting Student
123,30.6712,Twitter,Software Eng
123,32.2521,Twitter,Sr Software Eng
124,30.0000,Oracle,Member Tech Staff
124,32.0822,Microsoft,Software Dev Eng
124,38.2575,Microsoft,Sr Software Dev Eng
125,24.0000,San Jose State University,Graduate Student
125,25.8329,Apple,Maps Eng
126,30.0000,Microsoft,Principal Software Dev Eng
126,45.5918,Google,Staff Software Eng
129,28.0000,Adobe,Research Intern
129,29.6740,The Ohio State University,Visiting Research
131,26.0000,Sun MicroSystem,Software Eng Manage Staff Eng
131,29.0027,VMware,Director Research Dev
133,25.0000,Carnegie Mellon University,Graduate Student
133,26.9151,Juniper Networks,Software Eng
133,29.1699,Microsoft,Software Eng
139,22.0000,Microsoft,Software Design Eng Test Intern
139,22.2521,IBM,Software Eng
142,25.0000,Microsoft,Software intern
142,27.0027,Microsoft Research Asia,research intern
142,28.0027,IBM,Software intern
142,28.7534,Yahoo,Research Eng
142,31.0055,Baidu,Sr Research Develop Eng
142,32.7562,Baidu,Prinpcial Research Develop Eng
142,33.6712,Baidu,Architect
145,25.0000,HewlettP,Dev Eng
145,26.0000,Microsoft,Software Dev Eng
146,30.0000,Facebook,Software Eng
146,30.4192,Yahoo,Sr Eng Manage
146,31.9178,Yahoo,Director Eng
149,31.0000,PayPal,Platform Architect
149,34.0027,Yahoo,Director Eng Sr Principal Architect
150,22.0000,Microsoft,Software Dev Manage
150,31.7534,Google,Software Eng Manage
154,31.0000,BEA System,Sr Director Eng
154,33.6685,Oracle,Director Eng
157,31.0000,IBM,Software Eng Enterprise Content Manage group
157,37.3397,IBM,Release Manage Enterprise Content Manage group
157,41.6740,IBM,Eng Manage Tech Program Manage
157,45.6767,VMware,Sr Program Manage
159,28.0000,Google,Software Eng Intern
159,28.6712,Microsoft,Software Eng Intern
159,29.0000,Facebook,Software Eng Intern
159,29.7562,Facebook,Software Eng
160,24.0000,Microsoft Research,Research Microsoft Research Redmond
160,31.4192,Google,Sr Software Eng
162,29.0000,Intel,Sr System Eng
162,32.5836,HewlettP,Build Release Manage
163,22.0000,Microsoft,Program Manage
163,23.3288,Microsoft Research Asia,Program Manage Lead
163,28.2493,Amazon,Software Dev Manage
163,29.7534,Amazon,Software Dev Manage
163,31.9205,Amazon,Software Dev Manage
164,28.0000,Salesforce,Software Eng
164,28.6712,Salesforce,Software Eng
164,30.2548,Microsoft,Software Dev Eng Bing
164,32.7589,Microsoft,Sr Software Dev Eng Bing
165,22.0000,Cisco,Intern
165,22.6712,Carnegie Mellon University,PhD student
165,27.9205,Google,Software Eng
166,22.0000,Business Objects,Software Eng
166,23.0027,SAP,Sr Software Eng
166,28.3425,Apple,Software Eng
167,22.0000,Microsoft Research Asia,Associate Research
167,25.5068,Microsoft,Lead Research
167,31.5096,Microsoft,Principal Research Dev Lead
167,33.5123,Microsoft Research,Sr Research
169,24.0000,IBM,Staff Software Eng
169,27.0877,Microsoft,Software Dev Eng
173,25.0000,Twitter,Staff Software Eng
173,28.5836,Netflix,Sr Software Eng
175,30.0000,IBM,Data Science Intern
175,30.6712,Georgia Institute Tech,Graduate Research Assistant
177,31.0000,Google,Software Eng Intern
177,32.1671,Apple,Software Eng
177,35.5890,Pinterest,Software Eng
178,25.0000,Yahoo,Research Eng Yahoo Lab
178,27.0000,Uber,Security Software Eng Uber
182,31.0000,StanfoResearch Dev University,Sr Postdoc compute Neuroscience
182,34.7507,Google,Research Science
184,29.0000,Microsoft,Software Dev Eng
184,29.1671,Microsoft,Data Science
184,30.1671,LinkedIn,Data Science Software Eng
186,22.0000,Microsoft,Software Eng
186,31.1726,Google,Sr Software Eng
187,28.0000,IBM,Lead Storage Product Eng
187,34.0877,Amazon,Solution Architect
189,24.0000,Microsoft,Software Eng
189,25.1699,Microsoft,Software Eng
189,28.0877,Microsoft,Sr Applied Research
189,30.5096,Twitter,Sr Software Eng
190,22.0000,Adobe,Software Dev Eng
190,22.9205,Microsoft,Software Dev Eng
190,27.4192,Microsoft,Sr Software Dev Eng
190,32.2603,Microsoft,Principal Software Eng
190,34.2603,Microsoft,Principal Software Eng
191,24.0000,Sun MicroSystem,Sr Infrastructure Architect
191,25.4137,IBM,Advisory IT Architect
191,28.4986,IBM,Insurance Industry Architect IBM Sr Certified Architect
191,32.0055,IBM,Client Tech Advisor insurance sector IBM Executive Architect
191,33.0055,IBM,Client Tech Advisor Manage for IBM East China
193,24.0000,Sun MicroSystem,Software Eng
193,27.4219,Microsoft,Software Design Eng Lead
193,32.8384,Microsoft,Sr Dev Lead
194,28.0000,Microsoft,Student
194,32.1699,Microsoft Research Asia,Research Intern
195,26.0000,IBM,Sr Manage Consult
195,34.0055,IBM,Research Staff Member
196,24.0000,IBM,Software Eng
196,26.0000,Amazon,Software Eng
196,27.0000,eBay,Sr Software Eng
196,29.0027,Microsoft,Sr Program Manage Sr Software Eng Lead
197,26.0000,Tencent,Product Manage
197,27.0000,Baidu,Sr Product Manage
198,25.0000,Symantec,Sr Software Eng
198,29.5890,VMware,Sr Member Tech Staff
199,26.0000,Adobe,Software Eng
199,27.0000,StanfoResearch Dev University,HCI Research
202,29.0000,The Ohio State University,Visiting Scholar
202,29.4137,Google,Software Eng Intern
203,24.0000,Tata Consultancy Service,System Eng
203,27.6685,San Jose State University,Research Assistant
204,24.0000,IBM,Database Porting Consult
204,26.3288,Oracle,Principal Support Eng
205,31.0000,HewlettP,Sr Member Tech Staff
205,36.5068,Yahoo,Sr Eng Manage
205,39.5096,Microsoft,Principal Dev Manage
206,29.0000,Google,Software Eng Intern
206,29.5863,StanfoResearch Dev University,Graduate Teaching Assistant
206,30.0822,LinkedIn,Software Eng
206,31.8356,LinkedIn,Sr Software Eng Data Science
208,28.0000,Yahoo,Software Eng
208,30.5068,Amazon,Software Dev Eng
208,31.7534,Google,Software Eng
208,34.4247,Google,Software Eng
209,28.0000,Amazon,Software Dev Eng
209,29.7507,Microsoft,Software Dev Eng
212,26.0000,Apple,GPU Software Eng Intern
212,26.2521,Carnegie Mellon University,Graduate Teaching Assistant
216,30.0000,TIBCO Software,Sr Architect
216,32.4164,VMware,Staff Eng
217,22.0000,PuResearch Devue University,Research Assistant
217,24.4986,Qualcomm,Software Eng
217,27.0027,LinkedIn,Software Eng
217,28.0027,LinkedIn,Sr Software Eng
219,26.0000,Yahoo,Tech Yahoo Software Dev Eng
219,28.5041,Microsoft,Software Dev Eng
219,29.8356,Microsoft,Sr Software Dev Eng
219,31.3397,Microsoft,Sr Dev Lead
220,28.0000,PuResearch Devue University,Teaching Assistant
220,32.8356,eBay,Data Science Intern
220,33.2548,eBay,Business Analyst
220,34.5836,Amazon,Business Intelligence Eng
224,29.0000,Sun MicroSystem,Database Eng Architect
224,31.0027,Sun MicroSystem,Eng Manage
224,34.0055,Sun MicroSystem,Sr Manage Software Eng
224,37.0055,Sun MicroSystem,Sr Manage Software Eng
224,39.0082,Oracle,Director Software Eng
224,43.0110,Oracle,Sr Director Software Eng
225,28.0000,Yahoo,Software Eng
225,30.0000,Adobe,Sr Software Eng
225,31.8356,Amazon,Software Dev Eng
226,26.0000,Cisco,Sr Software Eng
226,28.8356,Cisco,Software Dev Manage
228,25.0000,Microsoft,Sr Speech Science
228,27.4192,Microsoft Research Asia,Research
229,29.0000,University Washington,Research Assistant
229,35.0055,Microsoft,Software Eng
229,36.0055,Microsoft,Software Eng
232,30.0000,Microsoft Research Asia,Research Intern
232,30.9205,UCLA,Research Assistant
233,31.0000,eBay,Search Science Intern
233,31.5863,Google,Software Eng
238,29.0000,Yahoo,Sr Software Eng
238,33.0849,Google,Software Eng
243,25.0000,Georgia Institute Tech,Thesis Intern
243,25.6658,VMware,Associate System Eng
243,26.6658,VMware,PreSale System Eng
243,28.1644,VMware,Tech Account Manage
245,25.0000,IBM,Software Eng
245,28.2521,IBM,Staff Software Eng
245,30.3397,IBM,Advisory Software Eng
245,32.1726,VMware,Sr Eng
246,26.0000,Motorola,Distinguished Member Tech Staff
246,40.0110,Amazon,Principal Research Science
248,31.0000,Yahoo,Chief Science Search Ads
248,36.4192,Microsoft,Chief Science Core Search
248,40.2603,Microsoft,Distinguished Eng Chief Science Core Search
248,43.5096,Microsoft,Tech Fellow Chief Science Core Search
251,29.0000,Microsoft,Research Intern
251,31.0027,Carnegie Mellon University,Research Assistant
251,32.7507,LinkedIn,Applied Research
254,30.0000,Amazon,Software Dev Eng Intern
254,31.0000,Amazon,Software Dev Eng Intern
254,32.2521,Amazon,Software Dev Eng
254,34.0877,Twitter,Software Eng
255,29.0000,Trend Micro,Sr Software Engn Test
255,33.4164,Microsoft,Software Dev Engn Test 2
256,22.0000,IBM,MVS Storage Administrator
256,26.0027,IBM,MVS System Program
258,22.0000,Carnegie Mellon University,Course Assistant Introduction to Functional Program
258,22.3315,Qualcomm,Interim Eng Intern
259,24.0000,PuResearch Devue University,Research Assistant
259,27.0877,Google,Software Eng
260,28.0000,University Washington,Graduate Research Assistant
260,32.7534,Amazon,Research Science
261,22.0000,Microsoft,Software Dev Eng
261,23.4192,Microsoft,Software Dev Eng
261,24.5041,Tencent,Sr Software Eng
262,28.0000,UC Berkeley,Postdoc Research
262,31.5041,Yahoo,Science
262,33.8384,Microsoft,Sr speech Science
265,29.0000,Georgia Institute Tech,Lead Teaching Assistant compute Science
265,29.8329,Oracle,Applied Eng
265,31.2521,Oracle,Sr Applied Eng
266,25.0000,Microsoft,Research Software Design Eng
266,27.0849,Yahoo,Principal Research Science Manage
267,29.0000,Microsoft,Applied Research
267,31.0000,Facebook,Research Science
268,26.0000,Cornell University,Teaching Assistant
268,28.8329,Google,Software Eng
269,30.0000,Qualcomm,Sr Eng
269,32.7479,Qualcomm,Staff Research Dev Eng
269,37.0849,Google,Software Eng
271,22.0000,Microsoft,Sr Software Design Eng Lead
271,26.0027,Microsoft,Principal Software Design Eng Lead
271,33.0082,Amazon,Software Developement Manage
274,30.0000,Infosys,Research Intern
274,30.1671,University Southern California,Research Assistant Software Eng
274,35.5890,Google,Sr Software Eng
275,30.0000,Symantec,Software Eng
275,32.5863,Hulu,Software Eng
275,33.7507,Hulu,Head Product China
275,37.7534,Pinterest,Product Manage International Growth
280,22.0000,HewlettP,Software Eng
280,25.8356,Yahoo,Sr Software Eng
280,30.1671,Yahoo,Sr Eng Manage Architect
281,31.0000,Siebel System,Sr Software Dev
281,33.5041,Microsoft,Manage Eng
281,38.2548,Yahoo,Director Eng Recommendation System
283,26.0000,Motorola,Software Eng Intern
283,27.0000,Intel,Software Eng Intern
283,28.0767,IBM,System Software Eng
283,30.5836,University WisconsinMadison,Research Assistant
286,28.0000,Cornell University,Graduate Teaching Research Specialist
286,28.4959,Oracle,Member Tech Staff
286,29.4959,Oracle,Sr Member Tech Staff
287,26.0000,Microsoft,Software Dev Eng Cloud Operation Team Cloud
287,29.0027,Oracle,Sr Member Tech Staff Test Tool Infrastructure team Cloud
288,25.0000,Intel,Data Path Design
288,32.0055,Oracle,Acquired Startup Counder Director Eng
290,29.0000,University Southern California,Research Assistant
290,33.0027,Google,Software Eng
290,36.2521,Twitter,Sr Software Eng Tech Lead
291,22.0000,Sun MicroSystem,Sr Eng Director
291,26.5014,Google,Eng Director
291,29.0904,Google,VP Eng Display Video Ads
291,36.4247,Google,VP Eng Cloud Dev Experience
295,28.0000,Juniper Networks,Software Eng
295,29.5863,EMC,Sr Software Eng
296,24.0000,Microsoft,Software Dev Eng Intern Consult Service
296,24.3342,University Illinois UrbanaChampaign,Graduate Assistant Database Information System Lab Lab
297,30.0000,Symantec,Principal Eng
297,31.3342,EMC,Consult Eng
301,30.0000,Microsoft,Sr Product Manage Windows Azure Tech compute Business Group
301,32.0000,Microsoft,Sr Product Manage Business Group
301,33.4219,Amazon,Principal Product Manage
302,24.0000,Sybase,Consult
302,31.0027,Informix,Solution Architect
306,30.0000,Tata Consultancy Service,System Eng
306,32.1671,Arizona State University,Student
307,25.0000,University Washington,Research Assistant
307,27.6658,Google,Software Eng
308,29.0000,salesforcecom,Lead Member Tech Staff
308,32.1644,Symantec,Sr Principal Software Eng
308,36.0822,Symantec,Tech Director
309,28.0000,Intel,Research Intern
309,31.3370,Yahoo,Science
309,32.4219,Google,Software Eng
312,29.0000,Microsoft Research,Research
312,34.5014,Microsoft,Principal Applied Science Manage Core Relevance
314,24.0000,Microsoft,Sr Program Manage
314,25.5041,Amazon,Sr Manage Product Manage
315,30.0000,Microsoft,Software Dev Eng
315,41.5890,Intel,Sr Software Dev Eng
316,30.0000,Microsoft,Software Dev Eng
316,32.8356,Tencent,Research Software Dev Eng
316,33.0877,Tencent,Research Dev Lead Natural Language Processing team
320,24.0000,University Illinois UrbanaChampaign,Teaching Assistant
320,26.5041,Microsoft,Software Dev Eng
323,29.0000,IBM,Research Staff Member
323,31.0000,IBM,Research Manage
324,28.0000,Microsoft,Research Intern
324,29.0000,IBM,Research Intern
324,30.2521,Google,Sr Staff Research Science
326,22.0000,Carnegie Mellon University,Research Assistant
326,26.9178,Microsoft,Research Software Eng
326,28.0027,Microsoft,Research Software Eng
326,30.4247,Microsoft,Sr Research Software Eng
328,26.0000,Amazon,Software Dev Eng
328,28.5041,Amazon,Software Dev Eng
328,28.8356,Amazon,Software Dev Manage
328,30.1726,Netflix,Sr Software Eng
329,26.0000,Microsoft,Software Dev Eng
329,27.0822,Facebook,Software Eng
329,29.4986,eBay,Data Science
330,22.0000,NetApp,Software Intern
330,22.4986,Amazon,Software Dev Eng
330,24.5836,Carnegie Mellon University,Graduate Research Assistant
334,28.0000,HewlettP,Sr Software Eng
334,37.6740,Juniper Networks,Staff Eng
335,30.0000,Intel,Performance Eng
335,34.2548,IBM,Lead performance team
337,31.0000,VMware,Member Tech Staff Intern
337,31.2521,Carnegie Mellon University,Graduate Teaching Assistant
337,31.6712,Carnegie Mellon University,Graduate Teaching Assistant
337,32.0849,VMware,Member Tech Staff
338,28.0000,Amazon,Software Dev Eng
338,31.5014,Amazon,Sr Software Eng
338,32.8356,Alibaba,Director Eng
339,30.0000,Amazon,Software Dev Eng Intern
339,31.2548,Amazon,Software Dev Eng
339,32.1699,Google,Software Eng
339,34.0877,Google,Software Eng
340,22.0000,Trend Micro,Sr Software Eng Core Tech
340,23.5890,Trend Micro,Sr Software Eng Version One team
340,24.9205,Trend Micro,Sr Software Eng Core Tech
340,25.2548,Yahoo,Sr Eng search team
341,24.0000,Amazon,Software Dev Eng Intern
341,24.8329,Amazon,Software Dev Eng
343,22.0000,Infosys,Sr Software Eng Web Applied Dev
343,27.6685,HewlettP,Software Dev Intern
344,30.0000,IBM,Advisory IT Specialist
344,34.1699,Lenovo,Solution Architect
348,25.0000,PuResearch Devue University,Research Assistant
348,29.4219,Qualcomm,Sr System Eng
351,31.0000,eBay,Software Eng
351,37.9205,Apple,Software Eng
351,39.1726,LinkedIn,Sr Software Eng
353,31.0000,Carnegie Mellon University,Research Assistant
353,32.9151,Facebook,Software Eng
354,31.0000,Tata Consultancy Service,Sr Java Dev
354,31.8329,Accenture,Sr Software Eng
356,26.0000,PayPal,Manage Risk Operation
356,28.0849,Google,Sr Quantitative Analyst
357,24.0000,Baidu,Intern
357,26.0000,Microsoft,Intern
357,28.0877,Carnegie Mellon University,Research Assistant
358,24.0000,Google,Staff Software Eng
358,28.3397,Google,Sr Staff Software Eng
358,31.5945,Pinterest,Eng Manage
359,26.0000,Arizona State University,Graduate Research Associate
359,30.4219,Alibaba,Sr Eng
360,22.0000,University Washington,Software Dev Research Assistant
360,22.3342,University Washington,Research Assistant
360,22.8329,Google,Software Eng Intern
360,23.8329,Google,Software Eng Intern
360,24.8356,Google,Software Eng
361,30.0000,Yahoo,Chief Staff Manage Principal Security Architect
361,36.0027,eBay,Principal Security Architect Director
361,37.0027,Adobe,Sr Software Dev Manage Mobile
365,24.0000,Microsoft Research Asia,Software Dev Eng Intern
365,24.5808,Microsoft Research Asia,Research Intern
365,27.0877,Microsoft,Research Software Eng
365,28.2493,Facebook,Sr Software Eng 
366,26.0000,Sybase,Software Eng Dev
366,29.9178,Oracle,Sr Member Tech Staff
367,29.0000,Microsoft,Research Software Dev Eng
367,32.0027,Facebook,Sr Software Eng
368,26.0000,University Washington,Postdoc Research
368,28.1699,Intel,Sr Research Science
368,29.4219,Amazon,Sr Research Science
368,31.5890,Amazon,Principal Research Science
370,30.0000,Intel,Sr Research Science
370,35.5014,Carnegie Mellon University,Associate Professor
371,30.0000,Nokia,HR Account Consult
371,38.7589,EMC,Recruiting Manage
372,30.0000,Microsoft,Sr Staff Lead
372,30.4192,Yahoo,Head Talent Acquisition Tech
372,32.0000,Microsoft,Executive Recruiting Global Executive Talent Acquisition
374,29.0000,IBM,Staff Software Eng
374,33.8356,Baidu,Sr Software Eng
375,28.0000,Microsoft,Software Eng Intern
375,34.0877,Yahoo,Principal Software Eng Sr Eng Manage
375,38.5890,Google,Staff Software Eng Tech Lead Manage
378,31.0000,Yahoo,Academic Contractor PartTime
378,31.6630,Microsoft,Software Dev Eng Intern
378,32.0000,Yahoo,Academic Contractor PartTime
379,29.0000,eBay,Software Eng
379,30.0000,Symantec,Sr Software Eng
380,29.0000,BEA System,Staff Eng
380,30.7507,Oracle,Principal Member Tech Staff
380,33.9178,Oracle,Consult Member Tech Staff
380,36.1726,Oracle,Consult Member Tech Staff
382,24.0000,Microsoft,Software Dev Eng Graduate Intern
382,25.1671,Amazon,Sr Software Eng Data Science
385,28.0000,University Massachusetts Amherst,Research Assistant
385,34.9178,Yahoo,Science Contextual Display Ads
385,38.3397,Google,Software Eng
386,24.0000,Yahoo,Sr Software Eng
386,25.2493,Yahoo,Sr Research Eng
386,27.2493,Google,Sr Software Eng
387,22.0000,Google,Software Eng Intern
387,22.6712,NetApp,Software Eng
387,23.9178,Google,Software Eng
389,31.0000,Oracle,Principal Member Tech Staff Architect
389,31.0849,Microsoft,Linguistic Software Dev Eng
390,26.0000,Microsoft,Sr Lead Program Manage
390,31.5068,Qihoo 360,Director Product Dev Manage for Mobile Internet Division
392,31.0000,eBay,Software Dev Intern
392,31.2521,StanfoResearch Dev University,Teaching Assistant
393,26.0000,Yahoo,Science
393,30.0027,Google,Tech Lead Member Tech Staff
393,34.0055,Uber,Eng Tech Lead
394,24.0000,Yahoo,Search Eng
394,25.8329,Microsoft,Applied Science
394,29.6740,Microsoft,Sr Applied Science
394,31.0027,Apple,Sr Applied Science
396,25.0000,eBay,Business System Analyst
396,26.0000,eBay,Product Manage Internet Market Analyst
396,26.6658,Adobe,Analyst
398,25.0000,Intel,Performance Eng Intern
398,26.0000,Intel,Performance Eng
398,27.0000,Microsoft,Software Eng Performance
398,30.3397,Microsoft,Sr Performance Eng
398,34.3425,Microsoft,Principal Performance Eng
399,24.0000,Yahoo,Search Relevance Science
399,25.6685,Google,Staff Software Eng
399,31.1699,Airbnb,Software Eng
400,22.0000,IBM,Software Eng
400,26.0027,IBM,Staff Software Eng Master Inventor
400,28.0849,IBM,Advisory Software Eng Master Inventor
400,33.0082,IBM,Sr Software Eng Master Inventor Tech Chief Eng Manage
400,34.2603,Intel,Sr Software Eng
402,31.0000,Huawei,Software Eng
402,31.8329,Amazon,Software Dev Eng
403,26.0000,Microsoft,Sr Software Design Eng
403,31.4192,eBay,Applied Research
403,33.2575,eBay,Applied Research
406,31.0000,Amazon,Software Dev Eng Intern
406,32.0000,Google,Software Eng Intern
407,26.0000,Cisco,Principal Eng
407,27.6658,Juniper Networks,Director
407,28.3315,Juniper Networks,Distinguished Eng
410,28.0000,IBM,Research Staff
410,60.7699,Google,Software Eng
411,24.0000,VMware,Test Dev Intern
411,24.2521,Georgia Institute Tech,Graduate Research Assistant
411,25.0849,Oracle,Sr Member Tech Staff
412,26.0000,Georgia Institute Tech,Assistant Professor
412,29.0877,Yahoo,Principal Research Science
412,32.8384,Google,Software Eng
